,losses,macro,micro,sample,weighted
100,1.1995047372579575,0.7623771499767065,0.8224798770422644,0.7366996670863858,0.7953035837125769
200,0.19872048549354077,0.929268933167758,0.9358292026676519,0.8438604667901544,0.9367824240183614
300,0.1819079513847828,0.9364098275686488,0.9429451341999568,0.8601890626734378,0.9439856983754348
400,0.1732005135715008,0.9389506198660214,0.9455205641876401,0.8582125643453768,0.9463318581674784
500,0.15974055163562298,0.9402600274368802,0.9476922000901169,0.8665954456689146,0.9485387208038525
600,0.11698169939219952,0.9568188841546071,0.964037037194138,0.8888162059294874,0.9645964027949878
700,0.10693644806742668,0.960229692543879,0.9670222435211455,0.896463700795732,0.9674826845555977
800,0.10484499279409647,0.960297591397681,0.9675356700217366,0.896453335293179,0.9680615010629655
900,0.10437363229691982,0.9597470832566529,0.9668399972526884,0.8962603923853923,0.9673633638672928
1000,0.09770181514322758,0.9616787295584436,0.9689844239719121,0.8972373730436228,0.9693765417931527
1100,0.06777897417545319,0.9714552971557957,0.9776763576761652,0.9081078604555166,0.977726909417605
1200,0.06688247345387936,0.9725941824502702,0.977950639140424,0.9072071223047786,0.9780080965485474
1300,0.06143733585253358,0.9748854219507173,0.9800105579024921,0.9085973583707958,0.9800555892353658
1400,0.06351377256214619,0.9737908132665991,0.9790986099992174,0.9064697763174329,0.9791719716899087
1500,0.06508847869932652,0.9722246204029743,0.9778814064629371,0.9095731319756633,0.9779516072483164
