,losses,macro,micro,sample,weighted
100,0.47880196303129197,0.7384343296909609,0.8041917483089148,0.7137063583118269,0.7796132698203547
200,0.24890433713793755,0.8998455573059563,0.9087237974455645,0.7904403166278169,0.9091187727145477
300,0.21768695652484893,0.9119558808419831,0.9190334896280125,0.8165428213279775,0.919131356671938
400,0.18583748877048492,0.9239532402196761,0.9313795931554745,0.8437989519161395,0.9312055284051304
500,0.17179584503173828,0.9294634131926814,0.9372866104924847,0.8584661201264013,0.9372241642972409
600,0.1261794474720955,0.9465536607376451,0.9510921255269241,0.8674889216686094,0.9502629375476295
700,0.11992704302072525,0.9521202455162202,0.9552695751406729,0.8765663585546397,0.9547136315450184
800,0.11607015617191792,0.9522461080939828,0.9558039903228536,0.8764512397324898,0.9550946859431506
900,0.113113521784544,0.952583630984896,0.9564704762236111,0.8769726627539127,0.9557567788754052
1000,0.11094807617366315,0.9535633622585717,0.9569263068039142,0.881233484383672,0.9562626565804281
1100,0.0733256659656763,0.9717090976099227,0.9731846520271139,0.9084916307650682,0.972937222066132
1200,0.07089588269591332,0.9724898748011168,0.9736911776206247,0.9042172332875458,0.9734763981238033
1300,0.07093743685632944,0.9730940452371829,0.9735190482755176,0.903538887761544,0.9733473323945645
1400,0.06988429080694913,0.9740439058585754,0.9745240316500856,0.9054771378794816,0.9743626499402198
1500,0.06990693870931863,0.9734171474123563,0.9741272174642387,0.9007211690392941,0.9739446462586564
