,losses,macro,micro,sample,weighted
100,0.41671261221170425,0.7777080084269792,0.8308736239493243,0.7241036068965756,0.8112232133622053
200,0.2599585075676441,0.8971954080421364,0.9029528091551345,0.77329535872114,0.9037759156943654
300,0.24379902169108392,0.9036925562810076,0.9084603106389126,0.7823132089264901,0.9090802109222544
400,0.23398058280348777,0.9073930447825616,0.909842633701415,0.7749628110604674,0.9101633433920944
500,0.22296402618288994,0.9123613778338178,0.9150991317281951,0.7962651581439394,0.9153931075653994
600,0.1830422979593277,0.9291210086523242,0.9292795213991881,0.8052991158147407,0.9292504593904495
700,0.18264154687523843,0.9296193351231669,0.9307585257458306,0.819788073038073,0.9308489009713291
800,0.1854139606654644,0.9288469386923106,0.9295754167979581,0.8235054012827451,0.9296819355903218
900,0.18690761893987656,0.9280024992967614,0.9282255379850705,0.8075096600448164,0.9281827306886282
1000,0.1887315320968628,0.9266946054650437,0.9277748089758113,0.8173522824259075,0.9278793568223673
1100,0.16870275303721427,0.9363001738915124,0.9362428826292439,0.831702517968143,0.9362867760773085
1200,0.17403329953551291,0.932833838233905,0.93320814615373,0.8213503102799977,0.9332628006084548
1300,0.18544716134667397,0.9284857796981566,0.929409908020276,0.8199239176621989,0.9294862032635436
1400,0.18770182594656945,0.9281962651241424,0.9293581972875985,0.8178287944694195,0.9294152156267768
1500,0.2488791698217392,0.9009476534211543,0.9058237498076259,0.7883912433781495,0.9055991705191441
