,losses,macro,micro,sample,weighted
100,0.3662623903155327,0.8108421956641473,0.8585543224202573,0.7537757719710845,0.8375119423723136
200,0.19987718880176544,0.9342367073107782,0.9357402423701161,0.8283442945942947,0.936693380425396
300,0.1836688143014908,0.938622556239894,0.9401944672592363,0.8381404255466756,0.9411712396843896
400,0.18380965679883957,0.9374368145695958,0.9407417781872133,0.8427654441912256,0.9417571725993605
500,0.17555938385426997,0.9392104954433037,0.9434375143451075,0.8392323292159228,0.9445298003417251
600,0.14331774912774564,0.9494781184980817,0.953873873280923,0.8548971588307527,0.9546482617535063
700,0.13602445483207704,0.9521134075875506,0.9568742790784445,0.8590826053286991,0.9576056003343818
800,0.1357944403588772,0.9511186848526333,0.95636910436002,0.8578380720841658,0.9570401626827867
900,0.1333450695872307,0.9516712387655685,0.9571568497252116,0.8659537732233044,0.9577639449940876
1000,0.13219258859753608,0.9524745344874269,0.9577496161064174,0.869255480724137,0.9582791578826975
1100,0.10491148397326469,0.9620031396874122,0.9670728989630294,0.8805513882818571,0.9675123233956682
1200,0.11059075862169265,0.9593579555008093,0.9646333299900115,0.8810739499216063,0.9650486983770223
1300,0.107158203125,0.9604055730263616,0.9654628240127052,0.8792031436445498,0.9658067434111979
1400,0.10781972952187062,0.9609862586496711,0.9653465177593962,0.873433274624681,0.9656452317896373
1500,0.11127411842346191,0.9592494820791582,0.9645652480339331,0.8724225727744478,0.9648917015930286
