,losses,macro,micro,sample,weighted
100,0.6320684370398522,0.5611076012362693,0.7271636089029294,0.6625865961295649,0.6522858581929131
200,0.2708463494479656,0.8876115725312796,0.8984293435377855,0.7666972393925517,0.8988062889751809
300,0.2159203115105629,0.9150032254732432,0.9221155251294043,0.8193356795114606,0.9221080831220355
400,0.19389408364892005,0.9215561910365365,0.9267200027178789,0.8215605111034798,0.9262545602681779
500,0.17202830895781518,0.9322934891564795,0.937194602850333,0.8435028596056721,0.936558800394863
600,0.12540467835962774,0.9505791799095848,0.9535446200711032,0.8724010078463205,0.9529224742921322
700,0.11926185384392739,0.9508419523313556,0.9547507713764865,0.8764405633429072,0.9539655057399693
800,0.12049159206449986,0.9511181092579148,0.9543719064715394,0.875566890574703,0.9537446617791538
900,0.11735236167907714,0.9509731111034274,0.9546245679322288,0.8768442117778055,0.9538796944630523
1000,0.11612213894724846,0.9528399861474282,0.9560889391278006,0.876084981525419,0.9552843231356143
1100,0.08666229359805584,0.9659987680305064,0.9677264587526646,0.8950990593607782,0.9672806950659646
1200,0.08680932618677616,0.9659677058193976,0.9671811222825615,0.8953661871982186,0.9668661182674356
1300,0.08359059911221266,0.967260506331259,0.968432222789719,0.898356479891636,0.9680752643350716
1400,0.08285417661070824,0.9678666435182143,0.9689892100181916,0.8972337458548396,0.9687416700130467
1500,0.08728007636964322,0.9655576538484496,0.9668719275317925,0.8941405085435395,0.9665532811032297
