,losses,macro,micro,sample,weighted
100,0.5085710087418556,0.6700979748423228,0.7822759355751654,0.6942990230255855,0.7327612372497551
200,0.2766467371582985,0.8904809793953723,0.8969198784390939,0.7629710428460429,0.8976749293280318
300,0.2383861219882965,0.907805902574627,0.9114090646532301,0.7848980199488013,0.9119930259673946
400,0.22869342923164368,0.9104256449843988,0.9135479546151701,0.7852242354000167,0.9139793111640286
500,0.215956871509552,0.9133914945358771,0.9167668473281748,0.7923251372238872,0.9169098390455968
600,0.17201594665646552,0.9351567314069718,0.9347383330428319,0.8245234943008378,0.9347423040788898
700,0.16506093382835388,0.9362140996337177,0.9368782984129643,0.8277141144445831,0.9367660140325869
800,0.16762007340788843,0.9358052076639788,0.9360391211031339,0.8217515396929461,0.9360312406019058
900,0.16608431458473205,0.9358984573230353,0.9364513003162505,0.8327373412178101,0.9364348043989952
1000,0.16404531314969062,0.9350529039492171,0.935655644564062,0.8333102779546842,0.935621509477834
1100,0.1200666368752718,0.9545623783549388,0.9533552115611514,0.8600333550997614,0.9532384694352131
1200,0.12438319131731987,0.9522701594175176,0.95164968319966,0.8583857037060163,0.9516124267743861
1300,0.12790172144770623,0.9520055488089336,0.9500758983224246,0.8572184542887668,0.949979566292055
1400,0.1301575295627117,0.9501592944792968,0.9489883864874442,0.8538933102487789,0.9488774684866728
1500,0.13132037833333016,0.9491196472862502,0.9480690988419188,0.8518511919920361,0.9480246708750086
