,losses,macro,micro,sample,weighted
100,0.7238921463489533,0.47944940573821915,0.6896449993389687,0.6361032196969698,0.5875691775804648
200,0.37069966807961463,0.7876154343712432,0.8420005105575089,0.7057014933850871,0.8267306586028262
300,0.23670623019337655,0.9065276872778059,0.9147568842747849,0.7956587566079754,0.9147667781062507
400,0.21328458711504936,0.9141921647103735,0.9207536580166211,0.8067373303779555,0.9202624555307856
500,0.18721916556358337,0.9269528990061058,0.9315782977048639,0.8299503188720999,0.9310826681313321
600,0.1497089882194996,0.9414631191811575,0.9441312250492896,0.8548867842227216,0.9433942727719007
700,0.13472888961434365,0.9465832350503139,0.9496923392130272,0.8640556127899879,0.9487790367337712
800,0.12806558765470982,0.947908370588488,0.9515295056785136,0.8723745538315852,0.9507626704817419
900,0.12758303977549076,0.9474658007150701,0.9513101151566983,0.8701611010517262,0.9503623542083836
1000,0.12110066592693329,0.9495297238534001,0.9532113111573921,0.8738623975156787,0.9523395312475141
1100,0.09681318581104278,0.9606630013887605,0.962665922184394,0.8862564670572484,0.9619828710322506
1200,0.09686843179166317,0.9602789935841826,0.9626456056498867,0.8876937667367355,0.962076448424049
1300,0.09483431804925203,0.960753129049055,0.9625700071267371,0.8886665925220614,0.9619701954223607
1400,0.09555951584130526,0.9603307623542878,0.9621564746309942,0.8859592074592075,0.9614470829274627
1500,0.09314250379800797,0.9614532352033462,0.9633548352135882,0.8887181648767899,0.9627047386985157
