,losses,macro,micro,sample,weighted
100,1.2408646947145463,0.6154563720866302,0.7491386136963514,0.6912461271367522,0.6765849393446457
200,0.5752056184411048,0.6833296496455605,0.7783252433540337,0.7074410004058441,0.7298054002989192
300,0.2625751096010208,0.9243485777587485,0.925857815704402,0.802515627601565,0.9256093760130115
400,0.1850934102386236,0.9482739053732032,0.9503626711125327,0.8644794454677266,0.9504268582061003
500,0.16523596130311488,0.9526840452644031,0.9543714192814694,0.8689970676025365,0.9544223166520878
600,0.1498929727077484,0.958437981145953,0.9601561288174638,0.8843925952519703,0.9601796902482366
700,0.11291132971644402,0.9681877271988054,0.9692823620156767,0.8969787885725387,0.9692737002546695
800,0.10992118589580059,0.9687006429515828,0.9701134186331781,0.8982275146728271,0.9701204964880413
900,0.11008351266384125,0.9685111302366848,0.9700333936231952,0.9057514867944556,0.9700648168307353
1000,0.10861999936401844,0.9689085821766747,0.9702500842312451,0.901866767347236,0.970253145065539
1100,0.10299704894423485,0.9703107545607892,0.9715525799521808,0.9046362704136142,0.9715291911099859
1200,0.0997369658946991,0.9701206417792964,0.971482902985764,0.9079587877400377,0.9714787523569774
1300,0.07854133244603873,0.9764757879020489,0.9775110245143612,0.9113075960497836,0.9775290165874695
1400,0.07550363909453153,0.9766376856760938,0.9777341732414824,0.9128658906197968,0.9777541523642047
1500,0.07287712544202804,0.977124494144268,0.9781618406766374,0.9170136811972749,0.9781831325132004
1600,0.07386431027203798,0.9769440280861019,0.9780487613444774,0.9142738255667944,0.9780494832453225
1700,0.07392959017306566,0.9767112958498722,0.9779572672632377,0.915411729329698,0.9779385895672688
1800,0.06937475334852934,0.9776471678271327,0.9788759533611733,0.9137950903263402,0.9788367398668041
