,losses,macro,micro,sample,weighted
100,37.972622230648994,0.6276896626128066,0.7238207610685536,0.6617740519029582,0.7039246196961009
200,38.676339302062985,0.630321376062771,0.7252115903358357,0.6638783330384893,0.7097016152853743
300,38.387276878356936,0.6338618575737011,0.728103171202482,0.6669984819867634,0.7108336133948563
400,39.083705291748046,0.6280144032253007,0.7218302154603762,0.6592017184204684,0.7051514081795506
500,38.648803787231444,0.6315360629391783,0.7257814006503502,0.6637277330412643,0.7090015804821593
600,38.393973121643064,0.6336351821097882,0.728142976171908,0.6678192337176714,0.7113517790527284
700,38.891741046905516,0.6289313595676281,0.723272406510788,0.6610777421363359,0.7071714111060308
800,38.73660701751709,0.6316950608188041,0.7251261977831243,0.6627918812957876,0.7069844302631014
900,38.8671875,0.6292778090376059,0.7235058484711496,0.6615611103306415,0.7071826612474895
1000,38.62706256866455,0.6319770469672149,0.7261497260389957,0.663707914779665,0.7091621140293499
1100,38.539062576293944,0.6322340275066312,0.7267303386595352,0.6648598645278334,0.7102011598790355
1200,38.595982246398925,0.6322871831207905,0.7263282528428447,0.6649450618825621,0.7090023707365829
1300,38.839285697937015,0.6300701460697138,0.7239977045445432,0.6616563557969809,0.706973970626525
1400,38.80580360412598,0.629731347743531,0.7242349283035523,0.6626342962592964,0.7082878638836766
1500,38.737241134643554,0.6311377896709753,0.7248567034728767,0.66285065750222,0.7073776439093942
