,losses,macro,micro,sample,weighted
100,0.5499790826439858,0.6582766898644834,0.7728555566741602,0.6934257075389887,0.7247305747425835
200,0.23149450480937958,0.9078344960160433,0.9161733320744057,0.8056877046564547,0.9166732489054019
300,0.20161273285746575,0.9195407975218817,0.9260742868353387,0.8268319289217726,0.9257033793632482
400,0.16601127117872239,0.9345194000501839,0.9395294780469017,0.8532991531038409,0.9389112366559884
500,0.15079739764332772,0.9380108214828529,0.943482916808451,0.8579667241300366,0.9427476016311893
600,0.11416686713695526,0.9534041067841819,0.9565309582747734,0.8764037910873849,0.9557535882534439
700,0.11864329554140568,0.952013494876449,0.9555364692972284,0.8811974288732103,0.9548716192895381
800,0.1119787709414959,0.9531805371727334,0.9564195025150894,0.8805611385142633,0.9556398184316137
900,0.11182613126933574,0.9540076939424382,0.957084175844364,0.8812423730783108,0.9563615147856733
1000,0.11449323795735836,0.9530262691288661,0.9561180996236637,0.8763700322143135,0.9553984140980216
1100,0.08193251263350249,0.9684052917219762,0.9694132723979472,0.8977427264575703,0.9690277077398005
1200,0.08020171362906695,0.9679947299679219,0.969437205850218,0.9004302867271616,0.9690756637205585
1300,0.08117237251251935,0.9677033082857426,0.9685677287324039,0.8967287855373794,0.9682626785165672
1400,0.08239155787974596,0.9684589533814347,0.9696162311104465,0.8991697681658618,0.9693496880047785
1500,0.07999693658202886,0.9684119554134942,0.9694385058677844,0.8972110115093241,0.9691537648668728
