,losses,macro,micro,sample,weighted
100,0.34086762353777883,0.8391710770665636,0.8706037181000679,0.7631357492334055,0.8555602774960731
200,0.18529728561639786,0.9414657696845223,0.9413122575486521,0.8495138641740203,0.9418674099876047
300,0.17523262798786163,0.9414339932749026,0.9422746676652995,0.8466842246295373,0.9427868691821746
400,0.16492292679846288,0.945481684938722,0.9472743617890678,0.8557975696178821,0.9478290148090014
500,0.15943485096096993,0.9479239659737029,0.950192277195731,0.8632332389485515,0.9506530985208994
600,0.14175742819905282,0.9519122857874446,0.9551212919582678,0.8749518432955932,0.9556512936117015
700,0.13799205780029297,0.9522575267494696,0.9553080335478775,0.8709029763639138,0.9558023849569866
800,0.1374596805125475,0.9533949049286946,0.9565248696510126,0.8752870046620047,0.9570196362006719
900,0.13782690450549126,0.9516767259623395,0.9550925632937854,0.8721676994880119,0.9555504446032203
1000,0.13865313708782195,0.9533901070305236,0.956450989105885,0.8712072340437341,0.9568656102228101
1100,0.13211700670421123,0.9541247392241367,0.9576375682255693,0.8741089864996116,0.9581617315002846
1200,0.13310577765107154,0.9547640518942887,0.958657488922212,0.8756834545662671,0.95917049239562
1300,0.12707594744861125,0.9563912008053208,0.9602002769824074,0.8825255317599067,0.9606601359165478
1400,0.1274894517660141,0.9567915910663009,0.9599539259951071,0.8748852475649351,0.9604033538528759
1500,0.13087562538683414,0.9560599116469399,0.9594115462193146,0.8818412824814075,0.9598822064276927
