,losses,macro,micro,sample,weighted
100,0.43426190584897995,0.7517512829497178,0.8240901488069696,0.7258196634095073,0.7967731429937364
200,0.25786463350057603,0.8988873353249413,0.9047898855838428,0.7741788142413142,0.9054127804772341
300,0.23861870661377907,0.9042321354077214,0.9083025405053998,0.7787657325313576,0.9087925536560817
400,0.22120099991559983,0.914432944061081,0.9171638570150908,0.7966510386315073,0.9175015813368692
500,0.2098717826604843,0.9191840985370558,0.9204591101390318,0.798307583114802,0.9205940728156914
600,0.15431982539594175,0.9412400102328807,0.9409705658682996,0.8331614032668722,0.9408955103857821
700,0.15495419181883335,0.9413367830742599,0.9404562221667284,0.8383932144244645,0.940380620566214
800,0.15371427513659,0.9413600712111234,0.9414825545092288,0.8401756060779499,0.94138590844253
900,0.15789571017026902,0.9401272796872854,0.9400380584699541,0.8378924066385005,0.9399546296694461
1000,0.15754939846694468,0.9386356595854285,0.9387551418844581,0.8369546840728717,0.9387060955728171
1100,0.10699761115014553,0.9595516544905692,0.9583091961810988,0.8735946063485126,0.9581409948671102
1200,0.11032137461006641,0.9585418077833543,0.9573524045601417,0.8670198295627984,0.9572345176123968
1300,0.11328857555985451,0.9575334431579674,0.9556878373322227,0.8672498916014542,0.955573473236598
1400,0.11672317482531071,0.9566489194740911,0.9547300429523381,0.862951252306721,0.9545692215343874
1500,0.11895449697971344,0.9543932852916526,0.9531128605494807,0.8591469296710234,0.9530234374556781
