,losses,macro,micro,sample,weighted
100,0.642454880475998,0.4663373970009689,0.6803914562057964,0.6194927286255412,0.5705399391386117
200,0.319986791908741,0.8592881485647332,0.8826669761792759,0.747988168081918,0.8724900493930057
300,0.22602938175201415,0.9213341290260127,0.9233157655855448,0.7971871847770287,0.9243760319959853
400,0.22098880246281624,0.9237771427931112,0.9264019823199128,0.8161771574779386,0.9275270889454869
500,0.23500361204147338,0.9166457816427167,0.9204665234043865,0.8065459004988068,0.9211670112036817
600,0.23007204473018647,0.91884597034109,0.9217069124156023,0.8124014926046175,0.9228129154718745
700,0.38251924082636835,0.8109998413903047,0.8503264986438411,0.7340768658424908,0.837534978081759
800,0.587357666194439,0.5511338376615946,0.7152324413032235,0.6443165827228328,0.6406625451773933
900,0.6412227457761764,0.46650424503792876,0.6743484266942328,0.6124630287247474,0.5696263869226391
1000,0.639428249001503,0.4508314591067027,0.6702625798858162,0.6105389224837663,0.5558782220448338
1100,0.6389426672458649,0.4641536095345857,0.6763892134228705,0.6128691265331889,0.5684305488282546
1200,0.6371218150854111,0.47361693431586377,0.6840373520490427,0.6212064506673882,0.5795850425346566
1300,0.6405028080940247,0.4697848218791515,0.6768792143620765,0.6147771859217172,0.5724216477277139
1400,0.639117448925972,0.46474698432373507,0.6765181121571896,0.6149525218704908,0.568434124147631
1500,0.637868213057518,0.4656222065885091,0.6792441153962057,0.6171856815927127,0.57140644511452
