,losses,macro,micro,sample,weighted
100,1.0250262546539306,0.6979844570764172,0.7849348658576011,0.7115127077783329,0.7380952856512627
200,0.22337398171424866,0.9362234388480366,0.9379837236270039,0.8402004787746974,0.9380680251630538
300,0.17557277023792267,0.9514729330501137,0.9533394633574995,0.8745083354145854,0.9534343231662727
400,0.16019386984407902,0.9559737025784871,0.9574293380308839,0.8812010662948162,0.9574751886888229
500,0.1481107348203659,0.9577779950553242,0.9595006512604547,0.8839679109952546,0.95955151464583
600,0.13692425280809403,0.9607351092059736,0.962348036879145,0.8939854412080974,0.9623890440199658
700,0.09668395962566137,0.972233355254913,0.973345904053546,0.9053372205051892,0.973360527700255
800,0.10036816205829382,0.9702477412189755,0.9717413624660186,0.9031418763528138,0.9717443084322448
900,0.09241966880857945,0.9726283689592229,0.9738099529406274,0.906397108100233,0.9738340628664921
1000,0.09296638466417789,0.9725215781614577,0.9735541374380944,0.9066706947566323,0.9735795026198723
1100,0.08994798827916384,0.9723433175205328,0.9737279279942268,0.9089766227695916,0.973708286150775
1200,0.09451561201363802,0.9716139240697536,0.9729567567803595,0.9110621245074371,0.9729740410249577
1300,0.07082468084990978,0.9776802873156843,0.978932058174754,0.915694870667527,0.9789081669368846
1400,0.06620257921516895,0.9789126099426041,0.980073812310694,0.9191130202263015,0.9800621977947079
1500,0.06816951625049114,0.978142380157119,0.9793486160957839,0.9164906989711677,0.9793455207547315
1600,0.06449028979986907,0.9791854485945309,0.9804007165327326,0.9168417017010768,0.9803539785799154
1700,0.06697497356683016,0.9780417212712129,0.9793087431267368,0.9154239931075868,0.9792767545683203
1800,0.067704166918993,0.9783034374943942,0.9795605722700154,0.9184972471105284,0.9795311825449344
