,losses,macro,micro,sample,weighted
100,1.0885100731253623,0.5154292243501495,0.714238271891343,0.6595688638618327,0.6198285646972514
200,0.28647029265761376,0.8802217398688503,0.8916886022878766,0.7612883722180598,0.892021868954168
300,0.20909365087747575,0.9178402513416585,0.9235933973639041,0.8143448886183261,0.9232657968386505
400,0.2019428552687168,0.920576268004224,0.9259064034805543,0.8234146990162614,0.9253173302920077
500,0.17111151024699212,0.9315655485858209,0.9359398576580533,0.8390480002462816,0.9351290286901931
600,0.1298148228228092,0.9477348369243421,0.9512388784965229,0.8731877523518148,0.9504698046610975
700,0.12204171553254127,0.9494934647072626,0.9528078530707166,0.8690001365821678,0.9519333211732609
800,0.1246076338738203,0.9493057215981172,0.9529437015456171,0.8720628364690866,0.9519867249722028
900,0.12105828046798706,0.950467764292404,0.9543906089219714,0.8748649588258963,0.9536075885348154
1000,0.12059649355709552,0.9509387297325614,0.9542167360081721,0.8751226777701467,0.9533739027851525
1100,0.09595105491578579,0.9608879967428215,0.9629500141997831,0.8869040260954324,0.9623468301572076
1200,0.09120950505137443,0.9626396520858574,0.9645572570914716,0.8890957623106062,0.9639751225881277
1300,0.09365523483604193,0.9620676760803759,0.9638861639855807,0.8877687464445276,0.9632284325590312
1400,0.09321261037141085,0.9630315394635345,0.9647688070345438,0.8912469115086304,0.9642168648845635
1500,0.09968218304216862,0.9599139426052329,0.9615955927174328,0.8883637018120768,0.9608911365238562
