,losses,macro,micro,sample,weighted
100,0.3661789792776108,0.8033236654675278,0.8566770867828611,0.7565558014034578,0.8345723263209622
200,0.20023639783263206,0.9330607137965236,0.9349199147590297,0.833140301538739,0.9359528698742675
300,0.18471419870853423,0.9365939685948008,0.939730463910221,0.8454053420537797,0.9408121107812937
400,0.17492554798722268,0.9398117452352269,0.943379924637732,0.8402219061320624,0.9443280313111612
500,0.16432583294808864,0.9440891098365367,0.9481922716804455,0.8549535973817849,0.9490793501046825
600,0.12544084765017033,0.9560757149569872,0.9610949013599754,0.869898210730242,0.9616958794952875
700,0.12321886956691742,0.9551585807313608,0.9604562787324936,0.8728640062194748,0.9608920163728102
800,0.11822586059570313,0.9579952913182065,0.9627535840712673,0.8748526395479519,0.9631292496605449
900,0.11278455160558223,0.9609837160633898,0.9651362597127785,0.8821744956432457,0.9654435454553368
1000,0.11881778985261918,0.9574361674484229,0.962196165113496,0.8722297656093906,0.9624949729810397
1100,0.07744447439908982,0.9729676212728019,0.9764488276672978,0.8991225462905151,0.9766341163275593
1200,0.07791229147464036,0.9725000312543464,0.9754457592838489,0.893571030531968,0.9755884390863594
1300,0.07978281196206809,0.9719085593860703,0.9750923038917441,0.8947308910707348,0.9752427826570486
1400,0.07985249187797308,0.9712293082539131,0.9743077887465843,0.8892918249285438,0.974469138134032
1500,0.08728403069078922,0.9684549370216218,0.9722568643455644,0.8899190292485293,0.9724198949137598
