,losses,macro,micro,sample,weighted
100,0.3392931738495827,0.830734764892375,0.868190826967658,0.751320194562382,0.8511874487243971
200,0.20865681529045105,0.928352840245441,0.9300904211263249,0.8166861827408703,0.9312187603582538
300,0.2120208638906479,0.9260611778136189,0.9284675298818655,0.8104951597881285,0.9292609545024466
400,0.2046697050333023,0.9297854305517823,0.9324175800485709,0.8264139983280607,0.9335480844412385
500,0.20241214215755463,0.929478588508031,0.9327802840178336,0.8370605136981072,0.933839181788979
600,0.18909501701593398,0.9339180796477451,0.9356368381219569,0.8182775908986848,0.9365549771814543
700,0.19103411659598352,0.9334300858877171,0.9359369674657262,0.8297398551968865,0.9369190278269229
800,0.18908699855208397,0.9325297454004907,0.9360745739075892,0.8349548307595184,0.9371002974877518
900,0.19350601643323898,0.9299706208258006,0.9338962807564869,0.8327430620594682,0.9348907582434351
1000,0.1926298889517784,0.9318353542984035,0.9349507352631019,0.8270220821608948,0.9358731697906539
1100,0.18765442088246345,0.9326152835132123,0.9356186253694845,0.8320021675373236,0.9366523038679081
1200,0.18888046205043793,0.9330371504195233,0.936503086290929,0.8341104386065322,0.9374511759261516
1300,0.18493014261126517,0.9342805185842598,0.9366080994593766,0.8316028259934509,0.9374250642254632
1400,0.1924216105043888,0.9302243797531701,0.9339613616630463,0.823165203719891,0.9348018331935297
1500,0.5382650254666805,0.7249474676230531,0.7817245071432741,0.6857162422126486,0.7585448285299329
