,losses,macro,micro,sample,weighted
100,0.44534718155860903,0.7504705526528838,0.8219247101277335,0.7268029674318736,0.7938955713315409
200,0.25718932747840884,0.8987870278537606,0.9046199824777648,0.7768931407134534,0.9052697546495676
300,0.2319132235646248,0.9083592887197167,0.9120955469702267,0.7805002918088856,0.9126769710844245
400,0.21588777825236322,0.9163615907486196,0.9187062708478502,0.7999807224025974,0.9190286616756247
500,0.19685634031891822,0.924333823129573,0.9254407809160559,0.8109476319236321,0.9256524691685348
600,0.1465434268862009,0.9458172522397175,0.9449888461684306,0.849339413190976,0.9449611385214394
700,0.14634523600339888,0.9444731182601777,0.9436413930708821,0.8425042683011432,0.9436141162057459
800,0.15151072680950164,0.9419125715969563,0.9416071811768234,0.8374085619241868,0.9415389239385782
900,0.15044834494590759,0.9420477679588463,0.942241893402322,0.8447946948884448,0.9421964481855016
1000,0.15247995041310788,0.9411578760742494,0.9403680928642282,0.8404363689054002,0.9403768622990707
1100,0.10175371922552585,0.9635524830645634,0.9616251133149255,0.8758064001970252,0.9614965419092519
1200,0.10089353814721108,0.9632514903294294,0.9603611271979102,0.8782470788759852,0.9603121872827741
1300,0.1066496592015028,0.9607101844173431,0.9586439431662896,0.8686667702956765,0.9585608050637566
1400,0.10921858139336109,0.9595529690146585,0.9571617092679068,0.8649221884885947,0.9570873989838793
1500,0.10989365465939045,0.9589268852574284,0.9571107063813432,0.8693683756625319,0.9570634315977558
