,losses,macro,micro,sample,weighted
100,1.185619484782219,0.6212957137461504,0.7464841528931444,0.6868939120775057,0.6776608776744888
200,0.3580772043764591,0.8799234363666926,0.887218021935001,0.7737107146325896,0.8853097024463727
300,0.19293142721056938,0.9458139834330203,0.9480279574630753,0.8582696353126041,0.948157458354348
400,0.16731865644454957,0.9517687378822256,0.9535913502064604,0.8690646172403986,0.9536378375134107
500,0.15610483556985855,0.9562891232306339,0.9576912898718875,0.8794225180201742,0.9577502620289519
600,0.14002319186925888,0.9604004951556696,0.9622376878291865,0.8932645553231492,0.9622478997369188
700,0.10326897367835045,0.9701800916581206,0.971393484783136,0.9007559549825175,0.9713707718851299
800,0.09662445470690727,0.9722844272196801,0.9733603451470526,0.9052430850399602,0.9733591861605899
900,0.09822918958961964,0.9707409774269412,0.9719639005889659,0.907385995948496,0.9719804607959017
1000,0.09671386130154133,0.9713573418377099,0.9726149218476646,0.9062309444028195,0.9725890612721169
1100,0.09707325749099255,0.9712817853468585,0.9725932775447987,0.9064595339556277,0.9725645489064856
1200,0.09632997024804353,0.971005228559856,0.972486814127892,0.9092008252164502,0.9724888568011232
1300,0.07108558882027864,0.9780192648345561,0.9791529579901447,0.915005613310301,0.9791694802488695
1400,0.07481793079525233,0.9762922304240733,0.9774418570318727,0.9159990339521589,0.9774555091445598
1500,0.07038816038519144,0.9778198832770617,0.9790281391224553,0.9147268217893219,0.9790426182099868
1600,0.06946049712598323,0.977688166422503,0.9788945157398865,0.9165105853348042,0.9789098968721497
1700,0.06996894743293523,0.977736985331826,0.9789760504388125,0.9149474275724279,0.9789636855470508
1800,0.06846206687390805,0.9783108429210263,0.9793894328031633,0.917590096535409,0.9793930569163443
