,losses,macro,micro,sample,weighted
100,0.43067997753620146,0.7619064933666102,0.8295696108519384,0.7263240409763848,0.804574531703961
200,0.25670555531978606,0.8971595829019648,0.9030275501731321,0.7703294934232434,0.9037262651834109
300,0.23076149135828017,0.9086062818381927,0.9117109063034928,0.7814371778395216,0.9123391893426319
400,0.21811291620135306,0.9146232196387523,0.9167212233744126,0.7899514682366244,0.917074676745832
500,0.2066485095024109,0.9207129293821292,0.9225208376441485,0.8121687663239539,0.9227775699072852
600,0.1514491080492735,0.943305059228776,0.9421560481279916,0.8439077606421356,0.9421446263093668
700,0.15006496258080004,0.9424884787265218,0.9422801050747944,0.840378662570069,0.9422205266323219
800,0.1530541668832302,0.940368841387357,0.9402968636748714,0.8388246232933733,0.9402096564489933
900,0.15199412755668162,0.9411358991336823,0.9413419295560276,0.8412597008026697,0.9412843898532444
1000,0.15500446498394013,0.9401811665164562,0.9401981452759037,0.8350604188623876,0.9400665786595652
1100,0.10489074178040028,0.9620659696454497,0.9603190953342629,0.8759264459498834,0.9601890157278534
1200,0.1042829417437315,0.9620514697314902,0.959651715705658,0.8702186021443835,0.9595641833786707
1300,0.1091217964887619,0.9593114027730535,0.9578085085198151,0.8714613576527639,0.9576837494434849
1400,0.11254243865609169,0.9575795065429498,0.9554802548254936,0.8630965800692363,0.9553654994382881
1500,0.11304559417068959,0.9570816417310921,0.9548975721404689,0.8636781672702297,0.9548149862211699
