,losses,macro,micro,sample,weighted
100,34.87359669566155,0.4546996274576248,0.6782217456316146,0.6147490699404763,0.560742330764242
200,35.755582122802736,0.45145255684994984,0.6775643281075513,0.6135447668650794,0.5584889210955752
300,35.75111783981323,0.45178751679856516,0.6780409040802569,0.6143751465548339,0.5590639830280162
400,35.71428720474243,0.4528492105772781,0.6789992163502657,0.6148363095238095,0.5595861106261885
500,35.91971570968628,0.4501919607142657,0.6756162811293016,0.6094247970779221,0.5564558699276055
600,35.79799272537232,0.4520060720124103,0.6776877894609495,0.6135002254689754,0.5582320999503559
700,35.55915340423584,0.4527265204513715,0.6798968866150358,0.6169901470057719,0.561352998160244
800,35.70982307434082,0.45353730686319227,0.6795962929119217,0.6168496798340549,0.5600468532982716
900,35.811385555267336,0.4517058588447196,0.6774724894459871,0.6121816321699134,0.5580746647167543
1000,35.8758943939209,0.4500443832875025,0.675731763123828,0.6100827070256133,0.556848444425189
1100,35.74888563156128,0.4536905797786835,0.6793712448063077,0.6155627705627704,0.5593663064482732
1200,35.59486764907837,0.4522873745977417,0.6793234592074687,0.6150437015241704,0.5608605951540185
1300,35.915180358886715,0.4495609762053634,0.6751316068265604,0.6102687308351371,0.5563143289257065
1400,35.679688949584964,0.4526141592456586,0.6791068728579774,0.6150552680826118,0.5600517423847977
1500,35.81559965133667,0.45197253960763584,0.6776856927155097,0.6136804295634921,0.5583430958961206
